Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,
MS CORP CD 61690DHC5,5.3,Nov17'25,,,Nov 15 '23,1.32,Semi-Annual,100.511,4.883,1.7394092082977295,0.03108617663383484,100.322,
MS CORP CD 61768EF57,5.3,Nov17'25,,,Nov 15 '23,1.32,Semi-Annual,100.511,4.883,1.739413857460022,0.031086286529898643,100.342,
MS CORP CD 61690DQV3,5.15,Nov17'25,,,May 15 '24,1.32,Semi-Annual,100.515,4.731,1.7414135932922363,0.031135326251387596,100.134,
EGBN CORP CD 27002YGN0,5.1,Nov17'25,,,May 16 '24,1.32,Monthly,100.331,4.84,1.3523000478744507,0.01869659125804901,100.141,
LSAVBK CORP CD 549104TV9,0.35,Nov18'25,,,Nov 18 '20,1.32,Semi-Annual,94.368,4.8,1.3205763101577759,0.017461812123656273,94.186,
BMW CORP CD 05580AS70,4.95,Nov18'25,,,Nov 18 '22,1.32,Semi-Annual,100.197,4.7733,1.287449836730957,0.0168620515614748,99.910,
MS CORP CD 61768EG56,5.15,Nov24'25,,,Nov 22 '23,1.34,Semi-Annual,100.555,4.706,1.7606182098388672,0.031807564198970795,100.157,
MS CORP CD 61690DHG6,5.15,Nov24'25,,,Nov 22 '23,1.34,Semi-Annual,100.444,4.782,1.760589361190796,0.03180687874555588,100.141,
MS CORP CD 61690DRJ9,5.15,Nov24'25,,,May 22 '24,1.34,Semi-Annual,100.448,4.7789,1.7605838775634766,0.03180675208568573,100.141,
MS CORP CD 61768E4A8,5.15,Nov24'25,,,May 22 '24,1.34,Semi-Annual,100.528,4.727,1.7606064081192017,0.03180728480219841,100.160,
CM CORP CD 12547CBL1,4.85,Nov25'25,,,May 25 '23,1.34,Semi-Annual,100.145,4.727,1.3073179721832275,0.017372291535139084,99.825,
SYF CORP CD 87165HW48,4.4,Nov28'25,,,Nov 30 '22,1.35,Semi-Annual,99.641,4.6779,1.3240824937820435,0.017789853736758232,99.252,
CELTIC CORP CD 15118RL39,4.85,Nov28'25,,,Nov 29 '23,1.35,Monthly,100.216,4.684,1.3051482439041138,0.017425572499632835,99.830,
WFC CORP CD 949764PB4,5.2,Nov28'25,,,May 29 '24,1.35,Monthly,100.673,4.683,1.3021546602249146,0.017372354865074158,100.280,
MS CORP CD 61690DHQ4,4.95,Dec01'25,,,Nov 29 '23,1.36,Semi-Annual,100.312,4.7,1.7824394702911377,0.03255343809723854,99.903,
MS CORP CD 61768E4K6,5.2,Dec01'25,,,May 30 '24,1.36,Semi-Annual,100.516,4.7817,1.7818551063537598,0.03256689012050629,100.213,
BMW CORP CD 05580AT38,4.8,Dec02'25,,,Dec 02 '22,1.36,Semi-Annual,99.920,4.853000000000001,1.326814889907837,0.017883434891700745,99.725,
WFC CORP CD 949764JJ4,5.1,Dec05'25,,,Dec 05 '23,1.37,Monthly,100.356,4.83,1.3221625089645386,0.017890583723783493,100.159,
MS CORP CD 61690DRX8,5.2,Dec05'25,,,Jun 05 '24,1.37,Semi-Annual,100.614,4.722,1.3323644399642944,0.018051382154226303,100.235,
SALLMA CORP CD 795451CL5,4.9,Dec08'25,,,Dec 07 '22,1.38,Semi-Annual,100.054,4.8500000000000005,1.804984450340271,0.03335576876997948,99.857,
MS CORP CD 61768EJ20,4.8,Dec08'25,,,Dec 06 '23,1.38,Semi-Annual,99.990,4.7988,1.8035776615142822,0.03329118713736534,99.700,
SYF CORP CD 87165EY27,4.2,Dec09'25,,,Dec 09 '22,1.38,Semi-Annual,99.304,4.721,1.3501067161560059,0.018475225195288658,98.981,
C CORP CD 17312Q4L0,4.8,Dec12'25,,,Dec 12 '23,1.39,Semi-Annual,100.008,4.7854,1.3542312383651733,0.01861831732094288,99.767,
WFC CORP CD 949764JS4,4.9,Dec19'25,,,Dec 19 '23,1.41,Monthly,100.108,4.8113,1.3622450828552246,0.01895221322774887,99.905,
MS CORP CD 61690UW89,4.2,Dec22'25,,,Dec 22 '22,1.42,Semi-Annual,99.101,4.86,1.3857070207595825,0.01944931410253048,98.900,
MS CORP CD 61690DJJ8,4.6,Dec22'25,,,Dec 20 '23,1.42,Semi-Annual,99.775,4.76,1.8446235656738281,0.03476061299443245,99.445,
MS CORP CD 61768E5M1,5.2,Dec22'25,,,Jun 20 '24,1.42,Semi-Annual,100.669,4.699,1.8366447687149048,0.03454948589205742,99.967,
FBC CORP CD 33847GBM3,4.65,Dec23'25,,,Dec 21 '23,1.42,Semi-Annual,99.517,5.0,1.8466167449951172,0.034842055290937424,99.436,
GS CORP CD 38150VQV4,4.25,Dec26'25,,,Dec 27 '23,1.43,Semi-Annual,99.327,4.7458,1.3990854024887085,0.01982433721423149,99.030,
MS CORP CD 61690DTB4,5.15,Dec26'25,,,Jun 26 '24,1.43,Semi-Annual,100.762,4.586,1.3902653455734253,0.019624991342425346,100.195,
MS CORP CD 61768E5Z2,5.15,Dec26'25,,,Jun 26 '24,1.43,Semi-Annual,100.762,4.583600000000001,1.3902653455734253,0.019624991342425346,100.195,
FBC CORP CD 33847GBS0,4.65,Dec29'25,,,Dec 28 '23,1.43,Semi-Annual,99.955,4.678,1.865889549255371,0.035556450486183167,99.435,
WFC CORP CD 949764KF0,4.55,Dec29'25,,,Dec 29 '23,1.43,Monthly,99.838,4.667,1.3858848810195923,0.019646303728222847,99.433,
SBIIN CORP CD 856285A76,1.15,Dec30'25,,,Dec 30 '21,1.44,Semi-Annual,95.110,4.713,1.4295598268508911,0.020509174093604088,94.676,
